0.6064,0,0.5239,-0.04722,0.8679,0,0.202,0.01191,3.3699,1.19658,3.4284,1.39708,4.8475,1.28382,4.4719,1.25557,5.4728,1.19894
0.6078,-0.02838,0.5253,-0.0378,0.8693,0.00942,0.2035,-0.00706,3.3714,1.38614,3.4328,1.30278,4.8489,1.2744,4.5625,1.28382,5.4742,1.17055
0.6092,-0.02838,0.5268,-0.0378,0.8708,0.02838,0.205,0.01191,3.3743,1.3482,3.4357,1.30278,4.865,1.29323,4.5639,1.26498,5.4757,1.19894
0.6106,-0.02838,0.5282,-0.0378,0.8806,0.01883,0.2065,0.01191,3.3758,1.43349,3.4386,1.30278,4.8665,1.24602,4.5683,1.2744,5.4771,1.19894
0.612,0.02838,0.5297,-0.04722,0.8834,-0.02838,0.2079,-0.00706,3.3773,1.46188,3.443,1.34986,4.8855,1.24602,4.5698,1.17055,5.4786,1.18938
0.6134,-0.01883,0.5311,-0.04722,0.9665,0.01883,0.2094,-0.00706,3.389,1.47143,3.4504,1.2366,4.8899,1.28382,4.5712,1.24602,5.48,1.20835
0.6176,-0.02838,0.5326,-0.02838,0.9918,-0.01883,0.2109,-0.00706,3.3905,1.46188,3.4533,1.30278,4.8914,1.29323,4.5727,1.28382,5.483,1.21777
0.6191,-0.00942,0.5341,-0.02838,1.0143,0.01883,0.2123,-0.00706,3.392,1.49982,3.4548,1.26498,4.8957,1.30278,4.5742,1.28382,5.4844,1.20835
0.6205,-0.05663,0.5355,-0.02838,1.0186,-0.00942,0.2138,-0.00706,3.3934,1.4904,3.4562,1.21777,4.9031,1.30278,4.5756,1.30278,5.4859,1.21777
0.6219,-0.0378,0.537,-0.04722,1.0214,0,0.2153,0.01191,3.3949,1.47143,3.4577,1.25557,4.9074,1.28382,4.5844,1.26498,5.4873,1.20835
0.6233,-0.01883,0.5384,-0.04722,1.0242,-0.01883,0.2168,0.01191,3.3964,1.44291,3.4636,1.26498,4.9133,1.29323,4.5888,1.25557,5.4888,1.21777
0.6247,-0.01883,0.5399,-0.0378,1.027,-0.00942,0.2182,0.02132,3.3978,1.37658,3.4738,1.45371,4.9206,1.30278,4.5902,1.28382,5.4902,1.19894
0.6261,-0.02838,0.5413,-0.04722,1.0284,-0.0378,0.2197,-0.00706,3.4008,1.42408,3.4812,1.37825,4.9279,1.28382,4.5917,1.26498,5.4917,1.20835
0.6275,-0.02838,0.5428,-0.02838,1.0298,0,0.2212,-0.00706,3.4022,1.44291,3.4826,1.39708,4.9309,1.28382,4.5932,1.28382,5.4932,1.18938
0.6289,0,0.5442,-0.05663,1.0312,0.00942,0.2226,0.01191,3.4037,1.45246,3.4841,1.40649,4.9352,1.28382,4.6151,1.25557,5.4946,1.19894
0.6303,-0.02838,0.5457,-0.02838,1.0763,-0.01883,0.2241,0.01191,3.4052,1.32923,3.4856,1.39708,4.944,1.30278,4.6311,1.24602,5.4961,1.19894
0.6317,-0.00942,0.5471,-0.0378,1.0805,0.00942,0.2256,-0.00706,3.4067,1.3482,3.4914,1.43488,4.9455,1.30278,4.6326,1.2366,5.4975,1.20835
0.6387,-0.00942,0.5486,-0.02838,1.1157,0,0.2271,-0.00706,3.4081,1.37658,3.4958,1.40649,4.9645,1.28382,4.6341,1.22718,5.499,1.19894
0.6401,-0.02838,0.55,-0.04722,1.1241,-0.00942,0.2285,0.01191,3.4096,1.36717,3.4973,1.38766,4.9777,1.30278,4.6355,1.22718,5.5004,1.17055
0.65,-0.0378,0.5515,-0.0378,1.1255,0,0.23,-0.00706,3.4111,1.3482,3.5002,1.32162,4.9835,1.30278,4.637,1.21777,5.5019,1.20835
0.6514,-0.00942,0.553,-0.02838,1.1284,0.00942,0.2315,0.01191,3.4125,1.32923,3.5017,1.29323,4.985,1.29323,4.6385,1.20835,5.5048,1.18938
0.6542,-0.02838,0.5544,-0.0378,1.1312,-0.00942,0.2329,0.01191,3.414,1.37658,3.509,1.16114,4.9937,1.30278,4.6399,1.21777,5.5077,1.19894
0.6612,-0.00942,0.5559,-0.02838,1.1326,0,0.2344,0.01191,3.4169,1.37658,3.5105,1.15172,5.0011,1.29323,4.6414,1.22718,5.5092,1.19894
0.6654,-0.01883,0.5573,-0.05663,1.134,-0.00942,0.2359,-0.00706,3.4213,1.53775,3.512,1.20835,5.0025,1.30278,4.6428,1.24602,5.5121,1.24602
0.6668,-0.01883,0.5588,-0.0378,1.1368,-0.01883,0.2374,0.01191,3.4228,1.54717,3.5296,1.28382,5.004,1.30278,4.6443,1.22718,5.5136,1.21777
0.6682,0,0.5602,-0.04722,1.141,0.00942,0.2388,0.01191,3.4258,1.55672,3.5428,1.34045,5.0084,1.30278,4.6458,1.22718,5.515,1.19894
0.6711,-0.01883,0.5617,-0.0378,1.1537,-0.01883,0.2403,-0.00706,3.4272,1.56614,3.5442,1.36883,5.0098,1.30278,4.6472,1.21777,5.5194,1.20835
0.6725,-0.02838,0.5631,-0.01883,1.1593,-0.00942,0.2418,0.01191,3.4287,1.41452,3.5457,1.41605,5.0113,1.29323,4.6487,1.18938,5.5223,1.20835
0.6753,-0.02838,0.5646,-0.02838,1.1621,0,0.2432,-0.00706,3.4302,1.37658,3.5516,1.44429,5.0128,1.29323,4.6501,1.20835,5.5267,1.17997
0.6767,-0.01883,0.566,-0.0378,1.1903,0,0.2447,-0.00706,3.4316,1.26291,3.553,1.39708,5.0172,1.2744,4.6516,1.22718,5.5281,1.22718
0.6781,-0.02838,0.5675,-0.0378,1.1959,-0.0378,0.2462,0.02132,3.4331,1.30085,3.5589,1.35942,5.0186,1.30278,4.6531,1.20835,5.5296,1.19894
0.6795,0.00942,0.569,-0.02838,1.2199,0.00942,0.2477,0.01191,3.4346,1.25335,3.5604,1.30278,5.0201,1.28382,4.6545,1.11392,5.5325,1.20835
0.6823,-0.04722,0.5704,-0.02838,1.2213,0,0.2491,-0.00706,3.436,1.22497,3.5633,1.34045,5.023,1.2744,4.656,1.17055,5.5339,1.17997
0.6837,-0.01883,0.5719,-0.01883,1.2227,0,0.2506,-0.00706,3.4375,1.08277,3.5706,1.3122,5.0259,1.26498,4.6575,1.24602,5.5354,1.20835
0.6893,-0.01883,0.5733,-0.02838,1.2241,0.00942,0.2521,0.01191,3.439,1.17762,3.5736,1.2744,5.0274,1.25557,4.6589,1.26498,5.5383,1.21777
0.6907,-0.02838,0.5748,-0.04722,1.2297,0.01883,0.2535,-0.00706,3.4419,1.13026,3.578,1.2744,5.0289,1.24602,4.6633,1.20835,5.5412,1.17055
0.6921,-0.01883,0.5762,-0.0378,1.2311,-0.00942,0.255,-0.00706,3.4463,1.11129,3.5911,1.17055,5.0303,1.30278,4.6648,1.19894,5.547,1.21777
0.6964,-0.00942,0.5777,-0.04722,1.2325,-0.01883,0.2565,-0.00706,3.4507,1.05438,3.5941,1.11392,5.0318,1.22718,4.6662,1.22718,5.5529,1.19894
0.6978,-0.04722,0.5791,-0.0378,1.2339,0,0.258,-0.00706,3.4551,1.13026,3.5985,1.14231,5.0347,1.22718,4.6677,1.21777,5.5602,1.21777
0.6992,-0.02838,0.5806,-0.0378,1.2353,-0.00942,0.2594,0.01191,3.4566,1.13026,3.6029,1.21777,5.0406,1.30278,4.6691,1.17997,5.5616,1.24602
0.7076,-0.00942,0.582,-0.02838,1.2368,0,0.2609,0.01191,3.461,1.07335,3.6043,1.18938,5.0493,1.26498,4.6706,1.20835,5.5631,1.20835
0.709,-0.01883,0.5835,-0.0378,1.2382,0.01883,0.2624,0.01191,3.4625,1.08277,3.6058,1.13275,5.0537,1.26498,4.6721,1.19894,5.5645,1.22718
0.7203,-0.01883,0.585,-0.0378,1.2945,0.00942,0.2638,0.01191,3.4654,1.00703,3.6117,1.04788,5.0581,1.25557,4.6735,1.20835,5.566,1.20835
0.7273,-0.02838,0.5864,-0.0378,1.2959,0,0.2653,-0.00706,3.4669,0.99748,3.619,1.00066,5.064,1.09509,4.675,1.22718,5.5674,1.22718
0.7287,-0.01883,0.5879,-0.02838,1.2973,-0.01883,0.2668,-0.00706,3.4698,0.95968,3.6263,1.06671,5.0684,1.28382,4.6764,1.21777,5.5689,1.22718
0.7385,-0.02838,0.5893,-0.02838,1.3057,0.00942,0.2683,0.01191,3.4713,0.95012,3.6337,1.28382,5.0844,1.25557,4.6779,1.2366,5.5704,1.20835
0.7399,-0.02838,0.5908,-0.0378,1.3268,0.00942,0.2697,-0.00706,3.4934,0.94071,3.641,1.13275,5.0859,1.26498,4.6794,1.22718,5.5718,1.21777
0.7413,-0.01883,0.5922,-0.04722,1.3282,0.00942,0.2712,0.01191,3.5051,0.93115,3.6439,1.05729,5.0874,1.24602,4.6823,1.2366,5.5733,1.21777
0.7427,-0.01883,0.5937,-0.05663,1.3297,0.00942,0.2727,0.01191,3.5081,0.96909,3.6454,1.13275,5.0888,1.26498,4.6852,1.24602,5.5747,1.2366
0.7512,-0.01883,0.5951,-0.0378,1.3311,0,0.2741,0.01191,3.5095,0.92174,3.6469,1.11392,5.0903,1.30278,4.6867,1.2366,5.5762,1.2366
0.7526,-0.01883,0.5966,-0.0378,1.3339,0.00942,0.2756,-0.00706,3.511,0.93115,3.6483,1.13275,5.0932,1.2744,4.6881,1.24602,5.5776,1.20835
0.7652,-0.00942,0.598,-0.0378,1.3367,0.00942,0.2771,-0.00706,3.5125,0.95012,3.6527,1.2744,5.0976,1.2744,4.6896,1.21777,5.5791,1.22718
0.7666,-0.02838,0.5995,-0.01883,1.3691,-0.00942,0.2786,-0.00706,3.5139,0.95012,3.6557,1.28382,5.0991,1.2744,4.6911,1.20835,5.582,1.24602
0.7737,-0.02838,0.6009,-0.0378,1.431,0,0.28,-0.01662,3.5154,0.97851,3.6703,1.43488,5.1005,1.28382,4.6969,1.25557,5.5835,1.24602
0.7751,-0.02838,0.6024,-0.0378,1.4366,-0.00942,0.2815,-0.00706,3.5169,1.03542,3.6762,1.34045,5.1035,1.2744,4.6984,1.21777,5.5849,1.24602
0.7807,-0.02838,0.6039,-0.0378,1.438,-0.00942,0.283,-0.00706,3.5183,0.98806,3.6806,1.46326,5.1049,1.28382,4.6998,1.24602,5.5864,1.24602
0.7821,-0.04722,0.6053,-0.0378,1.462,-0.00942,0.2844,-0.00706,3.5198,0.98806,3.6821,1.42546,5.1064,1.26498,4.7013,1.2366,5.5878,1.25557
0.7849,-0.00942,0.6068,-0.0378,1.4676,-0.00942,0.2859,0.02132,3.5272,0.96909,3.6835,1.34986,5.1137,1.25557,4.7028,1.2366,5.5893,1.2366
0.7863,-0.01883,0.6082,-0.0378,1.4718,0.00942,0.2874,0.02132,3.5286,0.93115,3.6879,1.36883,5.1152,1.26498,4.7042,1.26498,5.5922,1.22718
0.7877,-0.02838,0.6097,-0.04722,1.4775,-0.02838,0.2889,-0.01662,3.5389,1.01645,3.6923,1.34986,5.1166,1.29323,4.7057,1.24602,5.5937,1.25557
0.7891,-0.00942,0.6111,-0.04722,1.4831,0.00942,0.2918,0.01191,3.5433,0.98806,3.6953,1.36883,5.1195,1.30278,4.7071,1.26498,5.5951,1.2744
0.8018,-0.01883,0.6126,-0.0378,1.5014,0.00942,0.2933,0.01191,3.5448,0.98806,3.707,1.2744,5.121,1.30278,4.7086,1.2366,5.6024,1.26498
0.8046,-0.01883,0.614,-0.02838,1.5112,0.01883,0.2947,0.01191,3.5507,0.90277,3.7085,1.26498,5.1254,1.30278,4.7115,1.22718,5.6039,1.25557
0.806,-0.01883,0.6155,-0.0378,1.5141,-0.00942,0.2962,0.01191,3.5521,0.92174,3.7099,1.25557,5.1269,1.29323,4.713,1.25557,5.6359,1.2366
0.8116,-0.02838,0.6169,-0.0378,1.5155,0.01883,0.2977,-0.00706,3.558,0.95968,3.7173,1.25557,5.1327,1.30278,4.7159,1.2366,5.7277,1.29323
0.813,-0.02838,0.6184,-0.02838,1.5169,-0.01883,0.2992,0.01191,3.5639,0.97851,3.7217,1.2366,5.1342,1.29323,4.7174,1.24602,5.7917,1.2366
0.8172,-0.00942,0.6199,-0.01883,1.531,0.00942,0.3006,-0.00706,3.5654,1.08277,3.7261,1.33103,5.1356,1.30278,4.7188,1.2366,5.7947,1.2366
